x,y,miller_index,roi,x_result,y_result
914.0985026200684,1039.74265698411,1 0 0,40.6902463395592,912.9911183574033,1039.6252759724077
1016.9262626043352,1227.2302672398037,0 1 0,27.24689730212178,1015.0714221280423,1225.8775535987265
1227.702962658679,1232.2392195210816,0 2 0,23.44356583648022,1226.5838606863872,1231.3448755719994
907.8324474744094,1406.1113155821008,-1 1 0,37.6503470095784,906.2665236925301,1404.499711199965
696.98626691554,1399.3594787862426,-1 0 0,50.49667782481829,695.627709993098,1396.9382935281028
1124.898954766041,1047.0721778662014,1 1 0,30.47963237937373,1123.904358850599,1046.1496011919307
1026.910656679573,860.7996437852768,2 0 0,28.801747833223256,1024.6617695278626,859.747186567429
1135.9676171798085,682.6283449932384,3 0 0,25.10680379502464,1134.6380586133348,681.4503159942622
1249.9230195868556,504.7881035935097,4 0 0,22.46008398150781,1248.28951608004,503.5798703630649
1119.5114195031642,1415.143994221594,-1 2 0,40.52671438646508,1117.2048320003669,1412.7807233920144
1330.041713007462,1415.486353382123,-1 3 0,23.378462995450413,1329.1041392432917,1414.74901374083
703.7385581805856,1033.878904269424,1 -1 0,37.27366410137457,703.06135645776,1033.3654167609907
594.7870669820884,1212.0552605190214,0 -1 0,28.97245548096992,593.8515316272337,1211.705057640519
493.89931003464,1028.738307040985,1 -2 0,30.61510937268624,494.151365308882,1028.2747043525414
389.7134818874609,1203.2313718488056,0 -2 0,29.0310106327213,388.6057874400268,1202.9710115227617
190.2025176978658,1195.2159180769445,0 -3 0,29.39861106764181,189.34983845352778,1194.6074166766687
1439.5282648641228,1238.2172436892847,0 3 0,38.3868223246543,1438.5081601183101,1237.4356608862583
489.1572331960984,1388.898028476743,-1 -1 0,47.55080799609224,488.13162437677727,1387.8571488919333
592.2299202537905,1570.2688968667003,-2 0 0,41.36328195182725,590.7753385697473,1569.5828455026801
487.0447265777549,1739.0099358164437,-3 0 0,37.650347009578574,486.420972797561,1738.7083330433475
388.2645436071566,1902.9151843980017,-4 0 0,42.91387484463421,387.37107619569093,1901.688150610811
813.2643743765952,855.2212563539877,2 -1 0,48.1350732978474,812.9037779167413,854.1039714501874
924.8455075872712,674.4424342936901,3 -1 0,37.30666168025852,923.5795438319946,673.6291266800602
385.6900524139785,1559.8140290274723,-2 -1 0,41.505511643000695,384.44214486565824,1558.9246260286939
286.9511412500889,1726.3814889821224,-3 -1 0,37.66098554742884,285.4626370182984,1725.571284589452
287.2064418506662,1377.4242330326024,-1 -2 0,38.12116936041304,286.2270781569486,1376.736227590448
605.1953869952808,848.243377689163,2 -2 0,48.58536453804493,604.793397751439,848.0242946997087
715.6193109280566,667.9180707163732,3 -2 0,50.61316030978893,714.3704027582386,667.0600813833734
1237.1718684669108,864.3292983464844,2 1 0,45.83679937444838,1236.4178478594695,863.7137564546315
1339.4938023491857,1049.1819075111218,1 2 0,39.332612758285045,1338.634502718008,1048.915997385766
1549.4651207368356,1058.7260583469242,1 3 0,44.78123033952279,1548.5658992564283,1057.527808873827
1653.0873298112597,1240.0649242271677,0 4 0,33.724331578383655,1652.2117506005834,1239.4041541572049
294.4198198165869,1017.4192329253904,1 -3 0,41.390569664898784,293.2179037912049,1017.1535922681509
399.8007765461812,840.5297698435714,2 -3 0,48.92687276731169,398.52590388774865,840.2479377260057
800.6678543734188,1579.2582649877295,-2 1 0,40.347801951191634,798.310081908817,1578.6787302449657
690.5663935783095,1749.9155292201492,-3 1 0,55.00070767057901,689.8395736527478,1748.4653089984195
589.640054516126,1918.7377691059835,-4 1 0,49.490070620041415,588.3923178602737,1917.1265884983281
1009.8606298841264,1586.5983623740703,-2 2 0,40.37053562487324,1008.1298708801269,1585.6135468622424
901.5941934356013,1759.0906509530748,-3 2 0,42.16205929281936,900.384284440628,1758.3445117604351
1107.1169202531382,1762.7606996462453,-3 3 0,38.51169439446289,1106.7768162092489,1762.1533892061377
1217.2183810482477,1592.103435413826,-2 3 0,45.85560430311215,1216.4091591895046,1591.733561226001
187.5609096166902,1545.3470609389228,-2 -2 0,41.984919858089086,186.67163736084376,1544.7781493276532
794.2816174553295,1924.84316434955,-4 2 0,38.43056806182326,793.26669784829,1923.705789433269
510.5689678719705,665.5224657760525,3 -3 0,32.70196289616315,509.0094586382597,664.867467001226
308.3523738419403,662.7955655372517,3 -4 0,38.398579764352974,307.38101298076856,661.4285706994292
1038.1523535918532,500.37721695549214,4 -1 0,50.407097574655104,1037.2694034063918,499.4500071151235
1349.018980815128,684.4429830745363,3 1 0,58.55854613143252,1348.3952704817711,683.8038190019448
824.9304574597836,493.01984166651823,4 -2 0,45.83559121094657,823.7913476198758,492.67716339313506
1447.003710952151,869.1998327164752,2 2 0,45.875608664629,1446.3526662291292,869.1680207966805
199.06619076573944,837.3712739187079,2 -4 0,41.53560441508097,198.66092900976207,836.8359650074352
95.60015882319787,1013.0384979570532,1 -4 0,42.249015860698535,94.71839563392922,1012.5427359408604
1537.550378339512,1420.3211117478745,-1 4 0,43.53846943478886,1536.4794231915116,1419.6146479480008
1427.2821822434216,1597.3104360565344,-2 4 0,42.21853887617316,1426.1307035105378,1596.184152028291
89.56235630332696,1365.0309227577138,-1 -3 0,47.64588975375409,88.73719175362626,1364.6810359027954
1001.0474842316136,1932.1251216817773,-4 3 0,36.44249843910092,1000.3577288296468,1931.6539615367042
619.8705582440936,488.2487403903003,4 -3 0,46.54654247229061,618.4467417947105,487.746774080996
195.57575340242545,1880.412729378021,-4 -1 0,51.64662807303729,194.45001123362306,1879.6507310759687
93.86964150404393,1708.2592945803196,-3 -2 0,48.26781060314015,92.74372376337831,1707.5705987697343
1315.9447829514152,1766.8842531112596,-3 4 0,55.72162942612293,1314.9117545599677,1765.6082765470505
416.07180203763664,484.8627992921985,4 -4 0,49.64170064734652,415.4681993550696,483.68852904353145
219.18237049811444,485.2474153900861,4 -5 0,51.75844619855147,218.53952232947674,484.5669806220002
111.4698110654889,661.1324807927277,3 -5 0,50.461166121864345,110.61225314893262,660.5261664899352
729.7349300927527,317.9773399194405,5 -3 0,56.68689681384309,728.4990394194787,316.4660034680311
526.1091621066248,316.96427639712147,5 -4 0,58.75768429450454,525.4878351625067,315.53379632062945
328.5617752544113,312.9120223078454,5 -5 0,51.64662807303724,327.4113770008535,311.72883676704856
936.4310368906786,316.8546770021801,5 -2 0,42.46256559349226,935.7022224634807,315.6812248747632
1557.9358599953157,699.3511141344943,3 2 0,37.61726845841954,1556.5654897677157,698.3437600193091
1146.10254568654,330.0779346007572,5 -1 0,42.54039295622305,1145.611957938738,329.5119764216102
