x	y	miller_index	roi
914.0985026200685	1039.74265698411	1 0 0	40.690246339559202
1016.9262626043351	1227.2302672398037	0 1 0	27.24689730212178
1227.702962658679	1232.2392195210816	0 2 0	23.44356583648022
907.8324474744094	1406.1113155821008	-1 1 0	37.650347009578404
696.98626691554	1399.3594787862426	-1 0 0	50.49667782481829
1124.898954766041	1047.0721778662014	1 1 0	30.47963237937373
1026.9106566795733	860.7996437852768	2 0 0	28.801747833223256
1135.9676171798083	682.6283449932384	3 0 0	25.10680379502464
1249.9230195868556	504.78810359350973	4 0 0	22.460083981507815
1119.5114195031642	1415.1439942215939	-1 2 0	40.52671438646508
1330.041713007462	1415.486353382123	-1 3 0	23.378462995450413
703.7385581805856	1033.878904269424	1 -1 0	37.27366410137457
594.7870669820884	1212.0552605190214	0 -1 0	28.972455480969916
493.89931003463994	1028.7383070409853	1 -2 0	30.615109372686238
389.7134818874609	1203.2313718488056	0 -2 0	29.0310106327213
190.2025176978658	1195.2159180769445	0 -3 0	29.39861106764181
1439.5282648641228	1238.2172436892847	0 3 0	38.3868223246543
489.1572331960984	1388.8980284767433	-1 -1 0	47.55080799609224
592.2299202537905	1570.2688968667003	-2 0 0	41.36328195182725
487.04472657775494	1739.0099358164437	-3 0 0	37.650347009578574
388.2645436071566	1902.9151843980017	-4 0 0	42.91387484463421
813.2643743765952	855.2212563539877	2 -1 0	48.1350732978474
924.8455075872713	674.4424342936901	3 -1 0	37.30666168025852
385.6900524139785	1559.8140290274723	-2 -1 0	41.505511643000695
286.9511412500889	1726.3814889821224	-3 -1 0	37.66098554742884
287.2064418506662	1377.4242330326024	-1 -2 0	38.12116936041304
605.1953869952808	848.243377689163	2 -2 0	48.58536453804493
715.6193109280566	667.9180707163732	3 -2 0	50.61316030978893
1237.1718684669108	864.3292983464844	2 1 0	45.83679937444838
1339.4938023491857	1049.1819075111218	1 2 0	39.332612758285045
1549.4651207368356	1058.7260583469242	1 3 0	44.78123033952279
1653.0873298112595	1240.0649242271675	0 4 0	33.724331578383655
294.4198198165869	1017.4192329253905	1 -3 0	41.390569664898784
399.80077654618117	840.5297698435714	2 -3 0	48.92687276731169
800.6678543734188	1579.2582649877297	-2 1 0	40.347801951191634
690.5663935783095	1749.9155292201492	-3 1 0	55.000707670579004
589.640054516126	1918.7377691059833	-4 1 0	49.490070620041415
1009.8606298841263	1586.5983623740703	-2 2 0	40.37053562487324
901.5941934356013	1759.0906509530748	-3 2 0	42.162059292819364
1107.1169202531382	1762.7606996462453	-3 3 0	38.51169439446289
1217.2183810482475	1592.103435413826	-2 3 0	45.85560430311215
187.5609096166902	1545.3470609389228	-2 -2 0	41.984919858089086
794.2816174553295	1924.84316434955	-4 2 0	38.43056806182326
510.5689678719705	665.5224657760525	3 -3 0	32.70196289616315
308.3523738419403	662.7955655372517	3 -4 0	38.398579764352974
1038.1523535918532	500.37721695549214	4 -1 0	50.407097574655104
1349.0189808151279	684.4429830745363	3 1 0	58.55854613143252
824.9304574597836	493.01984166651823	4 -2 0	45.83559121094657
1447.0037109521513	869.1998327164752	2 2 0	45.875608664629
199.06619076573944	837.3712739187079	2 -4 0	41.53560441508097
95.60015882319789	1013.0384979570531	1 -4 0	42.249015860698535
1537.550378339512	1420.3211117478745	-1 4 0	43.53846943478886
1427.2821822434216	1597.3104360565344	-2 4 0	42.218538876173156
89.56235630332696	1365.0309227577138	-1 -3 0	47.64588975375409
1001.0474842316135	1932.1251216817773	-4 3 0	36.442498439100916
619.8705582440936	488.2487403903003	4 -3 0	46.546542472290604
195.57575340242542	1880.4127293780211	-4 -1 0	51.64662807303729
93.86964150404393	1708.2592945803196	-3 -2 0	48.26781060314015
1315.9447829514152	1766.8842531112596	-3 4 0	55.721629426122924
416.07180203763664	484.8627992921985	4 -4 0	49.64170064734652
219.18237049811444	485.2474153900861	4 -5 0	51.75844619855147
111.4698110654889	661.1324807927277	3 -5 0	50.461166121864345
729.7349300927527	317.9773399194405	5 -3 0	56.686896813843084
526.1091621066248	316.96427639712147	5 -4 0	58.75768429450454
328.5617752544113	312.9120223078454	5 -5 0	51.646628073037235
936.4310368906786	316.8546770021801	5 -2 0	42.46256559349226
1557.9358599953157	699.3511141344943	3 2 0	37.61726845841954
1146.10254568654	330.0779346007572	5 -1 0	42.54039295622305
